Key,Site,Emplacement,Position,Format,Annonceur
5312676608,Rugby Transferts,RugbyTransferts_728x90_RG_ATF,Haut,728 x 90,Google Adsense
5376505803,Trimes,Trimes_728x90_RG_ATF,Haut,728 x 90,Google Adsense
5494146609,Rugby Amateur,RugbyAmateur_728x90_RG_ATF-header,Haut,728 x 90,Google Adsense
5645736606,Statistiks,Statistiks_728x90_RG_ATF,Haut,728 x 90,Google Adsense
5731479001,Rugby Transferts,RugbyTransferts_300x250_RG_BTF,Bas,300 x 250,Google Adsense
5908752602,Track and Life,TrackAndLife_728x90_ATF_RG,Haut,728 x 90,Google Adsense
6970879800,Rugby Amateur,RugbyAmateur_300x250_RG_BTF-footer,Bas,300 x 250,Google Adsense
7208212205,Rugby Transferts,RugbyTransferts_728x90_RG_BTF,Bas,728 x 90,Google Adsense
7347813009,Sportune,Sportune_728x90_RG_ATF,Haut,728 x 90,Google Adsense
7698053405,Scorecast,Scorecast_230x50_RG_ATF,Haut,230 x 50,Google Adsense
7923048606,Statistiks,Statistiks_300x250_RG_ATF,Haut,300 x 250,Google Adsense
8469573007,Sportune,Sportune_300x250_RG_ATF,Haut,300 x 250,Google Adsense
8775814208,Sportune,Sportune_728x90_RG_ATF,Haut,728 x 90,Google Adsense
8824546201,Sportune,Sportune_300x250_RG_ATF,Haut,300 x 250,Google Adsense
9946306200,Sportune,Sportune_728x90_RG_ATF,Haut,728 x 90,Google Adsense
